arxivS-7b-vision	final_sweep_v7_datasweepv3/final_data_sweep_v3/arxiv_train/small/arxiv_21k_vision/checkpoint-2618	qwen2_vl	vision
arxivS-3b-vision	final_sweep_v7_datasweepv3/final_data_sweep_v3/arxiv_train/small/arxiv_21k_vision_3b/checkpoint-5236	qwen2_vl	vision
arxivS-7b-text	final_sweep_v7_datasweepv3/final_data_sweep_v3/arxiv_train/small/arxiv_21k_text/checkpoint-1312	qwen	text
arxivL-7b-vision	final_sweep_v7_datasweepv3/final_data_sweep_v3/arxiv_train/large/arxiv_balanced_per_venue_vision/checkpoint-8862	qwen2_vl	vision
arxivL-3b-vision	final_sweep_v7_datasweepv3/final_data_sweep_v3/arxiv_train/large/arxiv_balanced_per_venue_vision_3b/checkpoint-17724	qwen2_vl	vision
arxivL-7b-text	final_sweep_v7_datasweepv3/final_data_sweep_v3/arxiv_train/large/arxiv_balanced_per_venue_text/checkpoint-4442	qwen	text
iclr-7b-text	final_sweep_v7_datasweepv3/optim_search_2026/bz16_lr1e-6_text/checkpoint-2644	qwen	text
iclr-7b-vision	final_sweep_v7_datasweepv3/optim_search_2026/bz16_lr1e-6_vision/checkpoint-2648	qwen2_vl	vision
iclr-3b-text	final_sweep_v7_datasweepv3/optim_search_2026/scaling/bz32_lr1e-6_text_3b/checkpoint-2644	qwen	text
iclr-3b-vision	final_sweep_v7_datasweepv3/optim_search_2026/scaling/bz16_lr1e-6_vision_3b/checkpoint-5296	qwen2_vl	vision
